TIMESTAMP,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,TA_1_1_1,RH_1_1_1,P_1_1_1,PA_1_1_1,WS_1_1_1,WD_1_1_1,VPD_1_1_1
2022-03-21 1800,19.62416,350.765,3.5272045,354.86102,8.230662,96.471214,0.1,102.76093,1.333719,1.333719,0.38600639
2022-03-21 1830,3.8701124,348.96512,2.2089002,353.08826,7.9040866,97.13924,0.2,102.74575,1.2169553,1.2169553,0.3060599
2022-03-21 1900,,348.15356,,352.03375,7.562865,98.685265,0.2,102.747734,0.95504266,0.95504266,0.13742271
2022-03-21 1930,,347.94684,,351.4453,7.5243053,99.17551,0.0,102.7208,1.300786,1.300786,0.08595353
2022-03-21 2000,,347.70908,,350.99332,7.5669136,98.9193,0.0,102.731766,1.8251395,1.8251395,0.11299178
2022-03-21 2030,,343.13846,,350.0345,7.6250353,95.17311,0.0,102.73562,2.7067795,2.7067795,0.5066762
2022-03-21 2100,,344.74173,,349.7711,7.569145,94.612854,0.1,102.76255,1.761883,1.761883,0.5633329
2022-03-21 2130,,346.50516,,349.52118,7.5405855,96.02666,0.3,102.8014,1.6691797,1.6691797,0.41468227
2022-03-21 2200,,346.29443,,349.1741,7.3923936,97.63697,0.0,102.779785,1.8412395,1.8412395,0.24413544
2022-03-21 2230,,345.9875,,348.8273,7.3061266,97.39259,0.4,102.805,1.9437388,1.9437388,0.2677984
2022-03-21 2300,,345.90796,,348.6182,7.204139,98.54074,0.3,102.824486,1.1304545,1.1304545,0.14883323
2022-03-21 2330,,346.082,,348.74353,7.098773,99.463165,0.5,102.83382,1.9553357,1.9553357,0.05435923
2022-03-22 0000,,345.68848,,348.6278,6.9707527,99.744896,0.2,102.823715,2.9199054,2.9199054,0.025605764
2022-03-22 0030,,346.31284,,348.26785,7.0991135,99.91816,0.3,102.83808,2.8393564,2.8393564,0.008287265
2022-03-22 0100,,346.63116,,347.7577,7.1139607,100.0,0.8,102.887184,1.3609207,1.3609207,0.0
2022-03-22 0130,,346.4965,,347.6502,7.000906,100.0,0.5,102.9105,1.4692855,1.4692855,0.0
2022-03-22 0200,,346.5152,,347.65744,7.0076313,100.0,0.4,102.90767,2.3418264,2.3418264,0.0
2022-03-22 0230,,346.60507,,347.6902,7.0867014,100.0,0.6,102.918015,2.4702752,2.4702752,0.0
2022-03-22 0300,,346.60205,,347.17206,7.189556,100.0,0.4,102.91585,2.4048493,2.4048493,0.0
2022-03-22 0330,,346.87714,,347.3269,7.112281,100.0,0.3,102.9217,1.977793,1.977793,0.0
2022-03-22 0400,,347.16312,,347.6023,7.1294594,100.0,0.2,102.9145,2.0582204,2.0582204,0.0
2022-03-22 0430,,347.2403,,347.8133,7.176608,100.0,0.1,102.91458,2.3471847,2.3471847,0.0
2022-03-22 0500,,347.09808,,347.80472,7.190075,100.0,0.0,102.91495,2.695334,2.695334,0.0
2022-03-22 0530,,347.43942,,347.85513,7.275197,100.0,0.2,102.927704,2.1620033,2.1620033,0.0
2022-03-22 0600,,347.44946,,347.84988,7.2316875,100.0,0.1,102.942,1.9957907,1.9957907,0.0
2022-03-22 0630,0.9883805,347.4736,0.25291634,347.86823,7.182271,100.0,0.1,102.94435,2.2662203,2.2662203,0.0
2022-03-22 0700,5.3776712,347.92975,0.47704032,348.256,7.314451,100.0,0.1,102.946686,2.0284348,2.0284348,0.0
2022-03-22 0730,12.651427,348.75922,1.0745617,348.94244,7.3970766,100.0,0.2,102.95175,2.4810991,2.4810991,0.0
2022-03-22 0800,28.60376,350.27408,2.1846733,349.95184,7.610811,100.0,0.2,102.953285,1.8816407,1.8816407,0.0
2022-03-22 0830,46.96675,351.43866,3.5985925,351.05908,7.7406893,100.0,0.3,102.95625,1.8947128,1.8947128,0.0
2022-03-22 0900,54.057404,352.51184,4.108036,352.13263,7.9463315,100.0,0.2,102.95264,2.440632,2.440632,0.0
2022-03-22 0930,53.258354,353.60062,3.9124923,353.1722,8.143713,100.0,0.3,102.95963,1.9696593,1.9696593,0.0
2022-03-22 1000,80.3028,355.29443,5.6079316,354.78058,8.41239,100.0,0.1,102.95782,2.415032,2.415032,0.0
2022-03-22 1030,79.12084,357.6753,5.457845,356.75986,8.765802,100.0,0.2,102.95852,1.8638173,1.8638173,0.0
2022-03-22 1100,81.04316,358.63953,5.5216155,357.73828,8.890688,100.0,0.3,102.952805,1.9368705,1.9368705,0.0
2022-03-22 1130,95.55233,360.5882,6.3861485,359.46655,9.237245,100.0,0.4,102.943115,1.6841152,1.6841152,0.0
2022-03-22 1200,152.76115,363.62885,10.8748665,361.77042,9.557436,100.0,0.5,102.920265,1.906398,1.906398,0.0
2022-03-22 1230,159.30338,366.6862,11.101608,365.05286,9.946062,100.0,0.3,102.89788,1.4497886,1.4497886,0.0
2022-03-22 1300,136.88235,368.0256,9.452233,366.59335,10.190258,100.0,0.5,102.89315,0.93377167,0.93377167,0.0
2022-03-22 1330,226.14436,371.06403,16.309092,369.00592,10.43929,100.0,0.2,102.8581,1.63889,1.63889,0.0
2022-03-22 1400,193.64844,370.27832,13.732147,370.3607,10.837033,100.0,0.0,102.8256,1.7357881,1.7357881,0.0
2022-03-22 1430,114.07123,369.16565,8.2789545,369.6131,10.882902,100.0,0.1,102.789,1.7298318,1.7298318,2.220446e-15
2022-03-22 1500,273.42526,365.29608,21.250883,371.3855,11.140335,100.0,0.0,102.737915,2.5179276,2.5179276,0.0
2022-03-22 1530,268.45078,360.743,20.621317,374.43112,11.406591,99.6566,0.0,102.68835,3.1029902,3.1029902,0.046479452
2022-03-22 1600,198.3521,362.07184,15.433639,374.81244,11.59376,98.27908,0.0,102.643715,2.6129744,2.6129744,0.23583058
2022-03-22 1630,162.38885,358.91187,11.758897,376.23547,12.109726,95.93978,0.0,102.59337,2.7261214,2.7261214,0.57567173
2022-03-22 1700,103.9449,362.0615,6.2748575,376.45584,12.235478,94.63045,0.0,102.552284,2.5077205,2.5077205,0.7676406
2022-03-22 1730,63.36573,359.40112,3.7488205,375.75986,12.2570915,94.60379,0.0,102.507614,2.4245863,2.4245863,0.77254903
2022-03-22 1800,37.589413,348.9775,2.2204766,373.9128,11.91788,95.69896,0.0,102.45953,2.144084,2.144084,0.60215545
2022-03-22 1830,8.197343,357.46484,0.18257667,371.33047,11.637277,96.63981,0.0,102.426285,2.2186527,2.2186527,0.46179962
2022-03-22 1900,0.2191025,363.0138,0.0,369.9228,11.259113,96.91827,0.0,102.38133,2.3813107,2.3813107,0.41306043
2022-03-22 1930,0.037014835,364.76678,0.0,369.25812,11.259361,96.63217,0.0,102.32625,2.5605192,2.5605192,0.45141456
