,target,y_bar,y_CI95,Water table,dy_dWater table,dy_dWater table_CI95,T soil 50cm,dy_dT soil 50cm,dy_dT soil 50cm_CI95,dy_dWater table_norm,Water table_norm,dy_dWater table_norm_CI95,dy_dT soil 50cm_norm,T soil 50cm_norm,dy_dT soil 50cm_norm_CI95
32,41.09774,34.075005,0.34407973,28.575592,0.19293232,0.047130432,13.276755,7.281274,0.26208156,3.1762172726300366,1.7887019357224843,0.7759015792643305,26.282872104457883,0.5342863017088516,0.946023397826086
33,4.1424203,4.701948,0.12255008,-0.30000305,-0.12622747,0.12000804,6.023819,2.24847,0.18113594,-2.0780645161339946,0.034717407452208776,1.975675126708216,8.116196168043409,-1.4750307322113083,0.6538378755437881
34,43.384636,37.294224,0.4281099,17.972298,0.55190474,0.024581231,15.547858,3.7875261,0.2751928,9.08592829633991,1.1446281350472036,0.40467727732598113,13.671655436273827,1.163461235118223,0.9933504035462388
35,40.8054,33.48466,0.18659218,-5.5,-0.7132012,0.043305393,13.833714,4.84073,0.22671373,-11.741329723508224,-0.2811449726984271,0.7129304871346708,17.47335291823651,0.6885832015407197,0.8183579359505296
36,18.31377,26.550497,0.233133,-17.196426,0.1908349,0.04050358,13.07753,5.990305,0.2340266,3.141686840718551,-0.9916186741410523,0.666804624863972,21.622920181732052,0.4790938911536475,0.8447548023583956
37,-10.91606,34.151615,0.34733364,28.511436,0.21797428,0.04416558,13.287873,7.2052097,0.26349038,3.588479854924513,1.7848049461737518,0.7270917151513208,26.00830548977624,0.5373663585881338,0.9511088419014724
38,11.343189,12.95271,0.20355858,1.1210022,-0.59718597,0.07223515,11.104085,4.1771183,0.38259995,-9.831387115221622,0.12103324660184847,1.1891968594559017,15.077947093128621,-0.06761937533251566,1.3810528090497747
39,24.246044,20.86239,0.16734676,-7.099724,0.15317519,0.10159058,11.792501,6.78042,0.1528505,2.52170153090376,-0.37831667820304615,1.672471195875912,24.474957276647675,0.12309606631336002,0.55173715527297
40,18.487741,25.584225,0.09672954,-4.154442,-0.7168933,0.042710498,12.620158,6.197287,0.14682065,-11.802111588098642,-0.19941200067298762,0.7031368374376009,22.370057563425863,0.35238593106805705,0.5299715716407772
41,45.74655,35.403313,0.3427693,28.62201,0.55030215,0.025817415,13.496345,4.4028306,0.3078341,9.059544350266679,1.7915214486746154,0.4250283956992031,15.892689439815411,0.5951201991866245,1.111174168738973
